request_id,latency_ms
0,278.133
1,292.602
2,299.937
3,303.011
4,313.008
5,333.436
6,339.725
7,340.209
8,346.181
9,347.877
10,350.694
11,351.416
12,356.559
13,357.363
14,358.643
15,359.155
16,367.792
17,370.546
18,372.114
19,373.821
20,374.158
21,374.457
22,377.065
23,377.18
24,377.431
25,379.612
26,380.922
27,383.892
28,384.104
29,385.633
30,385.654
31,388.208
32,388.362
33,388.997
34,389.016
35,389.433
36,389.698
37,391.133
38,391.171
39,391.213
40,391.514
41,391.688
42,392.975
43,394.276
44,394.974
45,395.721
46,395.965
47,396.228
48,396.537
49,396.752
50,397.192
51,397.436
52,397.609
53,397.695
54,399.795
55,399.914
56,400.763
57,401.086
58,401.484
59,401.538
60,401.567
61,401.982
62,402.213
63,402.745
64,402.918
65,403.929
66,404.748
67,405.022
68,405.071
69,405.565
70,405.682
71,406.232
72,407.937
73,408.008
74,408.14
75,408.713
76,409.021
77,409.377
78,409.618
79,409.628
80,409.681
81,410.3
82,410.58
83,411.016
84,411.267
85,411.506
86,411.69
87,411.992
88,412.196
89,412.247
90,412.463
91,412.692
92,413.097
93,413.957
94,414.184
95,414.709
96,414.864
97,415.063
98,415.203
99,415.658
100,415.712
101,415.768
102,415.992
103,416.036
104,416.703
105,416.721
106,416.751
107,417.174
108,417.274
109,418.806
110,418.881
111,419.433
112,419.897
113,420.065
114,420.92
115,421.222
116,421.516
117,422.514
118,422.901
119,423.22
120,423.677
121,423.885
122,424.362
123,424.978
124,425.186
125,425.224
126,425.647
127,425.755
128,426.413
129,426.899
130,427.485
131,427.613
132,428.283
133,428.287
134,428.343
135,428.627
136,429.177
137,429.364
138,429.385
139,429.67
140,430.152
141,430.723
142,431.011
143,431.502
144,431.71
145,431.869
146,432.168
147,432.752
148,434.437
149,434.991
150,435.232
151,435.558
152,435.615
153,435.685
154,435.967
155,436.009
156,436.093
157,436.132
158,436.328
159,436.568
160,436.717
161,437.365
162,437.374
163,437.395
164,437.626
165,437.763
